Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,14:11,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,0,0.0%,0,4,4,3,0,0,0,0,4,0,3,7,0
7,Alessandro Del Giorgio,15:40,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,5,5,0,0,0,0,0,2,0,3,5,1
8,Daniele Del Barba,13:03,3,1,3,33.3%,0,1,0.0%,1,2,50.0%,1,4,25.0%,0,2,2,0,0,0,0,0,1,0,-1,0,0
10,Nicola Martinucci,11:22,2,1,3,33.3%,0,0,0.0%,1,3,33.3%,0,2,0.0%,1,1,2,1,0,1,0,0,0,0,2,2,-3
11,Francesco Garbellini,17:49,6,2,4,50.0%,0,2,0.0%,2,2,100.0%,2,2,100.0%,0,1,1,1,3,1,0,0,0,0,4,4,4
12,Guglielmo Bolotta,19:36,8,2,9,22.2%,0,4,0.0%,2,5,40.0%,4,4,100.0%,1,4,5,1,0,3,0,0,5,0,5,10,-5
14,Andrea Tavasci,12:12,2,1,4,25.0%,0,0,0.0%,1,4,25.0%,0,0,0.0%,1,1,2,0,0,1,0,0,1,0,1,2,-4
15,Emanuele Ravo,11:16,6,3,5,60.0%,0,0,0.0%,3,5,60.0%,0,0,0.0%,2,1,3,0,0,1,0,0,5,0,3,8,-12
17,Giuseppe Sala Danna,25:29,4,2,9,22.2%,0,1,0.0%,2,8,25.0%,0,0,0.0%,0,2,2,1,2,1,0,0,2,0,-3,-1,-15
20,Tanor Sow,13:03,3,1,3,33.3%,1,1,100.0%,0,2,0.0%,0,0,0.0%,0,0,0,1,0,1,0,0,1,0,2,3,2
21,Lorenzo Balatti,22:09,8,3,10,30.0%,0,4,0.0%,3,6,50.0%,2,2,100.0%,0,2,2,2,1,3,0,0,2,0,5,7,-17
23,Matteo Pedrini,24:10,4,2,7,28.6%,0,0,0.0%,2,7,28.6%,0,4,0.0%,2,4,6,0,0,2,0,0,2,0,1,3,-6
,Totale,,48,19,60,31.7%,1,13,7.7%,18,47,38.3%,9,18,50.0%,7,27,34,10,6,14,0,0,25,0,25,50,-
Avversari,Totale,Trasferta,59,,,,,,,,,,,,,,,,,,,,,,,,
