Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,16:38,4,1,5,20.0%,0,0,0.0%,1,5,20.0%,2,2,100.0%,4,5,9,2,3,4,1,0,2,0,11,13,16
7,Alessandro Del Giorgio,19:11,2,1,6,16.7%,0,0,0.0%,1,6,16.7%,0,0,0.0%,2,4,6,0,0,1,1,0,1,0,4,5,19
8,Lorenzo Salerno,08:21,0,0,3,0.0%,0,1,0.0%,0,2,0.0%,0,0,0.0%,1,0,1,0,0,0,0,0,0,0,-2,-2,-3
9,Marco Agostino,13:26,0,0,4,0.0%,0,0,0.0%,0,4,0.0%,0,0,0.0%,0,0,0,0,1,1,0,0,3,0,-7,-4,-1
10,Nicola Martinucci,17:10,4,2,4,50.0%,0,2,0.0%,2,2,100.0%,0,2,0.0%,0,2,2,3,2,2,0,0,2,0,3,5,26
11,Francesco Garbellini,22:38,0,0,8,0.0%,0,6,0.0%,0,2,0.0%,0,0,0.0%,1,2,3,2,2,1,0,0,3,0,-7,-4,0
12,Guglielmo Bolotta,16:14,18,8,13,61.5%,2,5,40.0%,6,8,75.0%,0,3,0.0%,4,0,4,2,1,1,2,0,2,0,16,18,15
14,Andrea Tavasci,12:14,4,2,5,40.0%,0,1,0.0%,2,4,50.0%,0,0,0.0%,1,3,4,2,0,0,0,0,1,0,6,7,4
21,Lorenzo Balatti,23:04,15,7,15,46.7%,0,3,0.0%,7,12,58.3%,1,2,50.0%,0,8,8,1,0,3,1,0,3,0,16,19,24
22,Mouhammadou Ka,14:25,4,2,3,66.7%,0,0,0.0%,2,3,66.7%,0,2,0.0%,3,5,8,1,0,1,2,0,3,0,10,13,4
23,Matteo Pedrini,15:58,8,3,7,42.9%,0,0,0.0%,3,7,42.9%,2,4,50.0%,2,3,5,0,0,0,0,0,4,0,3,7,3
50,Andrea Papa,20:41,6,3,8,37.5%,0,0,0.0%,3,8,37.5%,0,0,0.0%,4,2,6,1,0,3,0,0,5,0,6,11,23
,Totale,,65,29,81,35.8%,2,18,11.1%,27,63,42.9%,5,15,33.3%,22,34,56,14,9,17,7,0,29,0,59,88,-
Avversari,Totale,Casa,39,,,,,,,,,,,,,,,,,,,,,,,,
