Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,22:04,0,0,4,0.0%,0,1,0.0%,0,3,0.0%,0,0,0.0%,1,1,2,0,3,2,0,0,0,0,-3,-3,-15
7,Alessandro Del Giorgio,16:21,2,1,3,33.3%,0,1,0.0%,1,2,50.0%,0,0,0.0%,0,2,2,0,1,3,0,0,1,0,3,4,-8
9,Leonardo Gianera,10:34,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,2,0.0%,0,0,0,0,2,2,0,0,0,0,-3,-3,-11
11,Thristan Estalla Roman,10:06,0,0,2,0.0%,0,0,0.0%,0,2,0.0%,0,0,0.0%,0,1,1,0,0,1,0,0,2,0,-2,0,-8
14,Andrea Tavasci,09:49,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,-1,-1,-10
15,Emanuele Ravo,28:36,5,2,9,22.2%,0,0,0.0%,2,9,22.2%,1,1,100.0%,0,6,6,0,6,5,0,0,4,0,-1,3,-14
17,Giuseppe Sala Danna,27:53,19,8,17,47.1%,1,1,100.0%,7,16,43.8%,2,4,50.0%,0,2,2,2,3,1,0,0,0,0,10,10,-14
20,Tanor Sow,08:00,0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,1,2,2,0,1,0,0,0,0,5,5,6
21,Lorenzo Balatti,26:42,7,1,5,20.0%,0,0,0.0%,1,5,20.0%,5,10,50.0%,3,1,4,1,6,2,0,0,2,0,-3,-1,-11
22,Mouhammadou Ka,17:46,0,0,4,0.0%,0,0,0.0%,0,4,0.0%,0,0,0.0%,1,1,2,0,4,2,0,0,4,0,-8,-4,-19
23,Matteo Pedrini,11:17,4,2,6,33.3%,0,0,0.0%,2,6,33.3%,0,2,0.0%,3,1,4,0,0,0,0,0,0,0,2,2,-4
24,Alessandro Ravo,10:46,2,1,1,100.0%,0,0,0.0%,1,1,100.0%,0,0,0.0%,0,1,1,0,6,1,0,0,0,0,-2,-2,3
,Totale,,39,15,52,28.8%,1,3,33.3%,14,49,28.6%,8,19,42.1%,9,17,26,5,32,20,0,0,13,0,-3,10,-
Avversari,Totale,Trasferta,60,,,,,,,,,,,,,,,,,,,,,,,,
