Nº,Giocatore,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,SR,PF,PFD,PIR,EFF,+/-
5,Alessandro Sceffer,21:07,0,0,6,0.0%,0,0,0.0%,0,6,0.0%,0,2,0.0%,2,3,5,1,1,2,0,0,3,0,-4,-1,-12
7,Alessandro Del Giorgio,10:04,0,0,2,0.0%,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,1,1,2,0,0,1,0,0,1,0
8,Daniele Del Barba,07:51,0,0,2,0.0%,0,1,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,0,1,0,0,0,2,0,-4,-2,-6
10,Nicola Martinucci,14:15,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,1,1,2,0,0,1,0,0,0,0,0,0,-8
12,Guglielmo Bolotta,15:48,3,1,9,11.1%,1,5,20.0%,0,4,0.0%,0,0,0.0%,0,2,2,0,1,2,0,0,1,0,-3,-2,-14
14,Andrea Tavasci,12:45,0,0,3,0.0%,0,0,0.0%,0,3,0.0%,0,0,0.0%,1,1,2,0,2,1,0,0,0,0,-2,-2,-10
15,Emanuele Ravo,21:06,6,2,5,40.0%,0,0,0.0%,2,5,40.0%,2,4,50.0%,2,7,9,1,1,1,0,0,3,0,8,11,-12
17,Giuseppe Sala Danna,21:20,6,2,6,33.3%,0,1,0.0%,2,5,40.0%,2,6,33.3%,0,2,2,0,0,2,0,0,0,0,2,2,-10
20,Tanor Sow,11:50,3,1,3,33.3%,1,1,100.0%,0,2,0.0%,0,0,0.0%,0,0,0,0,1,0,0,0,0,0,0,0,-10
21,Lorenzo Balatti,20:34,13,4,9,44.4%,1,4,25.0%,3,5,60.0%,4,7,57.1%,0,0,0,0,0,1,0,0,1,0,5,6,-11
23,Matteo Pedrini,32:00,7,2,5,40.0%,0,0,0.0%,2,5,40.0%,3,6,50.0%,10,6,16,2,2,1,1,0,0,0,19,19,-18
24,Alessandro Ravo,11:20,0,0,1,0.0%,0,0,0.0%,0,1,0.0%,0,0,0.0%,0,1,1,1,1,0,0,0,0,0,0,0,1
,Totale,,38,12,54,22.2%,3,13,23.1%,9,41,22.0%,11,25,44.0%,16,25,41,6,11,13,1,0,11,0,21,32,-
Avversari,Totale,Trasferta,60,,,,,,,,,,,,,,,,,,,,,,,,
